trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Non-cancer illness code, self-reported: gout	Medical history and conditions	0.0612	0.2105	0.424001018329939		0.0612	0.0489	1.2522	0.2105	0.424001018329939		0.0275	0.0496	0.5531	0.5802	0.83835		0.0472	0.0482	0.9798	0.3272	0.60713095684803		0.0241	0.0068	0.9947	0.02	0.0057	0.0056	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Mean corpuscular haemoglobin	Biological samples	0.0425	0.1624	0.428302933333333		0.0364	0.0317	1.1492	0.2505	0.465871052631579		0.0388	0.0296	1.3105	0.19	0.569424242424242		0.0425	0.0304	1.397	0.1624	0.428302933333333		0.2346	0.0296	1.1531	0.0635	0.0113	0.0077	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30050
Trunk fat mass	Physical measures	0.0507	0.0849	0.429066161616162		0.0205	0.0293	0.7003	0.4838	0.680499431818182		-0.0507	0.0294	-1.723	0.0849	0.429066161616162		-0.0223	0.0291	-0.7673	0.4429	0.714564600326264		0.2343	0.0074	1.0701	0.0192	0.002	0.0071	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23128
Workplace had a lot of diesel exhaust: Sometimes	Work environment	0.1119	0.1984	0.429895967741936		0.1119	0.0903	1.2394	0.2152	0.429895967741936		0.0921	0.0846	1.088	0.2766	0.64670780141844		0.1114	0.0866	1.2862	0.1984	0.470545803357314		0.0302	0.0056	1.001	0.0065	0.0028	0.0049	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22615
Speech-reception-threshold (SRT) estimate (left)	Physical measures	0.0879	0.2142	0.429895967741936		0.0879	0.0708	1.242	0.2142	0.429895967741936		-0.0218	0.0727	-0.3	0.7642	0.928493611793612		0.0297	0.0703	0.4218	0.6732	0.856412982005141		0.0255	0.004	1.0069	0.0063	0.0084	0.0047	Hearing test - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20019
3mm weak meridian angle (right)	Physical measures	0.0964	0.2152	0.429895967741936		-0.0964	0.0778	-1.2395	0.2152	0.429895967741936		-0.0512	0.0803	-0.6382	0.5233	0.805175		-0.077	0.076	-1.0138	0.3107	0.591688269230769		0.034	0.0069	1.0079	0.0068	-0.0024	0.0048	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5100
Impedance of leg (right)	Physical measures	0.0414	0.2156	0.429895967741936		-0.0414	0.0335	-1.2382	0.2156	0.429895967741936		0.0112	0.037	0.3035	0.7615	0.927689298892989		-0.0126	0.0361	-0.3482	0.7277	0.879944009779951		0.2379	0.0087	1.0967	0.0228	-0.0062	0.0071	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23107
Loud music exposure frequency	Medical history and conditions	0.1004	0.2161	0.430025955734406		0.1004	0.0812	1.2371	0.2161	0.430025955734406		0.0188	0.0648	0.2898	0.772	0.935671568627451		0.0636	0.0707	0.8993	0.3685	0.648481316725979		0.0299	0.0044	1.0075	0.0066	-0.0012	0.0052	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4836
6mm cylindrical power angle (right)	Physical measures	0.0868	0.2172	0.431346987951807		-0.0868	0.0703	-1.2341	0.2172	0.431346987951807		0.0283	0.0691	0.4096	0.6821	0.889969525065963		-0.0265	0.0668	-0.396	0.6921	0.863286002522068		0.0436	0.0078	1.0062	0.0063	0.0052	0.005	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5114
Weekly usage of mobile phone in last 3 months	Lifestyle and environment	0.0526	0.2196	0.435239278557114		0.0526	0.0428	1.2277	0.2196	0.435239278557114		0.0077	0.0504	0.153	0.8784	0.966997775305895		0.031	0.047	0.6589	0.51	0.771238532110092		0.0488	0.0026	1.0013	0.0078	0.004	0.0058	Electronic device use - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1120
Hip circumference	Physical measures	0.0386	0.2213	0.4377314		0.0386	0.0315	1.2232	0.2213	0.4377314		-0.0265	0.0335	-0.7905	0.4292	0.763856014362657		7e-04	0.0328	0.0212	0.9831	0.992730173292559		0.2173	0.0079	1.0761	0.0195	-0.0051	0.0071	Body size measures - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=49
Had menopause	Maternity and sex-specific factors	0.1021	0.0888	0.437915422885572		-0.0077	0.0586	-0.1315	0.8954	0.939445233050847		0.1021	0.06	1.7018	0.0888	0.437915422885572		0.0614	0.0578	1.0628	0.2879	0.566659642147117		0.0401	0.0059	1.003	0.0118	0.013	0.0053	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2724
Non-cancer illness code, self-reported: prolapsed disc/slipped disc	Medical history and conditions	0.1685	0.0906	0.437917788461539		-0.0617	0.0953	-0.6474	0.5174	0.712686072423398		-0.1685	0.0996	-1.6921	0.0906	0.437917788461539		-0.1327	0.097	-1.3675	0.1715	0.441701822916667		0.0058	0.0016	1.0202	0.0073	-0.0035	0.0046	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Haematocrit percentage	Biological samples	0.0807	0.0917	0.437917788461539		0.0218	0.0387	0.5642	0.5726	0.76231534320323		0.0807	0.0478	1.6864	0.0917	0.437917788461539		0.0599	0.0455	1.3164	0.188	0.460227722772277		0.1352	0.0108	1.1976	0.0441	0.0013	0.0072	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30030
Meniscus derangement	Medical history and conditions	0.0757	0.2226	0.439423952095808		0.0757	0.0621	1.2198	0.2226	0.439423952095808		-0.0499	0.0665	-0.7501	0.4532	0.779504		0.0088	0.0631	0.1395	0.8891	0.961437704918033		0.0124	0.0019	1.0059	0.0072	0.003	0.0049	NA	NA
3mm cylindrical power angle (right)	Physical measures	0.0953	0.2233	0.439927689243028		-0.0953	0.0782	-1.2177	0.2233	0.439927689243028		-0.0539	0.0804	-0.6698	0.503	0.803207028753994		-0.0782	0.0762	-1.0269	0.3045	0.587038011695906		0.0337	0.0069	1.0083	0.0068	-0.0025	0.0048	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5115
Job involved shift work: Yes	Work environment	0.0926	0.2239	0.440144246031746		0.0926	0.0762	1.2162	0.2239	0.440144246031746		0.0357	0.0784	0.4547	0.6493	0.879668082191781		0.0717	0.0762	0.9408	0.3468	0.631299635036496		0.0327	0.005	0.9983	0.0064	0.004	0.0048	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22620
Ever taken cannabis	Mental health	0.0694	0.2243	0.440144246031746		0.0694	0.0571	1.2151	0.2243	0.440144246031746		-0.0148	0.053	-0.2801	0.7794	0.940876707317073		0.0253	0.0547	0.4618	0.6442	0.843781398416887		0.0806	0.0057	1.0103	0.0077	0.002	0.0059	Cannabis use - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20453
Non-cancer illness code, self-reported: angina	Medical history and conditions	0.0635	0.2262	0.442993663366337		0.0635	0.0525	1.2102	0.2262	0.442993663366337		-0.0225	0.0541	-0.4152	0.678	0.889053439153439		0.0174	0.0538	0.3233	0.7465	0.893811743341404		0.0236	0.002	1.0184	0.0081	0.0073	0.0052	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Lifetime number of depressed periods	Mental health	0.1559	0.2271	0.443877272727273		0.1559	0.129	1.208	0.2271	0.443877272727273		0.1081	0.1274	0.8484	0.3962	0.748412144212524		0.1354	0.1273	1.0633	0.2876	0.566659642147117		0.0224	0.0074	1.0023	0.0062	-8e-04	0.0049	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20442
Illnesses of father: Prostate cancer	Family history and early life factors	0.1341	0.0953	0.444583490566038		-0.0038	0.088	-0.0434	0.9654	0.981275025693731		-0.1341	0.0804	-1.6682	0.0953	0.444583490566038		-0.08	0.0812	-0.9842	0.325	0.605111842105263		0.0078	0.0017	1.0109	0.0079	-0.0037	0.005	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20107
Felt very upset when reminded of stressful experience in past month	Mental health	0.0768	0.2004	0.446213529411765		0.0768	0.064	1.2002	0.2301	0.446213529411765		0.0658	0.0567	1.1602	0.246	0.62419670886076		0.0765	0.0597	1.2803	0.2004	0.472600714285714		0.0518	0.0047	0.9954	0.0069	-0.0023	0.0055	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20498
Average weekly fortified wine intake	Lifestyle and environment	0.1006	0.2293	0.446213529411765		-0.1006	0.0837	-1.2022	0.2293	0.446213529411765		0.0149	0.0926	0.161	0.8721	0.963612723214286		-0.0419	0.0903	-0.4641	0.6426	0.843781398416887		0.0111	0.0021	1.016	0.0068	0.0015	0.0046	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1608
Length of time at current address	Sociodemographics	0.0915	0.1187	0.447078717948718		0.0409	0.0477	0.8571	0.3914	0.612119242902208		0.0915	0.0587	1.5601	0.1187	0.499032916666667		0.0729	0.0539	1.3523	0.1763	0.447078717948718		0.0271	0.0024	1.0088	0.0079	-0.0096	0.0056	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=699
Alcohol	Diet by 24-hour recall	0.1531	0.1298	0.447189058524173		0.0671	0.0915	0.733	0.4635	0.66628125		0.1531	0.101	1.5149	0.1298	0.509508171206226		0.1274	0.0945	1.3478	0.1777	0.447189058524173		0.036	0.0093	1.0064	0.0062	0.0032	0.0052	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100022
Mouth/teeth dental problems: Loose teeth	Medical history and conditions	0.0892	0.1904	0.449250386100386		0.0778	0.0654	1.1897	0.2342	0.449250386100386		0.0881	0.0708	1.2449	0.2132	0.592288764044944		0.0892	0.0681	1.3094	0.1904	0.462667321867322		0.0137	0.0016	1.0124	0.0073	-0.0034	0.005	Mouth - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149
Illnesses of mother: Bowel cancer	Family history and early life factors	0.1408	0.2326	0.449250386100386		-0.1408	0.1179	-1.1936	0.2326	0.449250386100386		-0.0285	0.1087	-0.2621	0.7933	0.951153790613718		-0.081	0.1125	-0.7203	0.4714	0.738850396196513		0.0042	0.0014	1.0084	0.0061	0.0037	0.005	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110
Breathing problems responsible for leaving job: No	Work environment	0.0845	0.2342	0.449250386100386		0.0845	0.071	1.1896	0.2342	0.449250386100386		0.0069	0.0828	0.0836	0.9333	0.989301831129196		0.0477	0.0764	0.6242	0.5325	0.784094281524927		0.0326	0.0054	1.0031	0.0062	0.0051	0.0049	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22619
Factors influencing health status and contact with health services	Medical history and conditions	0.0883	0.2363	0.450290366088632		0.0883	0.0745	1.1843	0.2363	0.450290366088632		-0.0567	0.0787	-0.7201	0.4715	0.786363406408094		0.0102	0.0736	0.1389	0.8895	0.961437704918033		0.0068	0.0014	1.0138	0.0066	0.0036	0.0046	NA	NA
Sleep duration	Lifestyle and environment	0.0462	0.2382	0.452141300191205		-0.0462	0.0391	-1.1796	0.2382	0.452141300191205		-0.0369	0.0417	-0.8849	0.3762	0.734852259332024		-0.0449	0.0393	-1.1434	0.2529	0.530708158995816		0.0714	0.0034	1.0185	0.01	0.0029	0.0058	Sleep - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1160
Transport type for commuting to job workplace: Public transport	Sociodemographics	0.0695	0.2391	0.452141300191205		0.0695	0.0591	1.1772	0.2391	0.452141300191205		0.0406	0.0557	0.729	0.466	0.782651016949153		0.0552	0.054	1.0213	0.3071	0.587469825918762		0.0311	0.0031	1.0139	0.0076	-4e-04	0.0051	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6143
3mm regularity index (left)	Physical measures	0.1277	0.1811	0.453353634085213		0.1105	0.0992	1.1147	0.265	0.480009157509158		0.1102	0.0916	1.2023	0.2292	0.608472994652406		0.1277	0.0955	1.3373	0.1811	0.453353634085213		0.0275	0.0073	1.0057	0.0067	6e-04	0.0054	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5163
Non-cancer illness code, self-reported: uterine fibroids	Medical history and conditions	0.1	0.2409	0.454675763358779		-0.1	0.0852	-1.1726	0.2409	0.454675763358779		-0.0137	0.0826	-0.166	0.8682	0.961533930571109		-0.0562	0.0798	-0.7034	0.4818	0.747950626959248		0.0125	0.0026	1.007	0.0066	0.0031	0.0048	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Trouble falling or staying asleep, or sleeping too much	Mental health	0.0658	0.2041	0.455015209125475		0.0589	0.0503	1.1703	0.2419	0.455015209125475		0.0596	0.0546	1.0918	0.2749	0.644256161137441		0.0658	0.0518	1.2699	0.2041	0.474581030444965		0.0543	0.0049	0.9989	0.0075	-0.0045	0.005	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20517
Easily tired during worst period of anxiety	Mental health	0.1353	0.2431	0.456216129032258		0.1353	0.1159	1.1674	0.2431	0.456216129032258		0.1184	0.1152	1.0282	0.3038	0.679769683257919		0.1325	0.1159	1.1427	0.2531	0.530708158995816		0.0406	0.0125	1.0071	0.0058	-0.0021	0.0048	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20429
Ever had prostate specific antigen (PSA) test	Medical history and conditions	0.0872	0.1371	0.456461538461538		-0.0474	0.0589	-0.8058	0.4203	0.63268904109589		-0.0872	0.0587	-1.4868	0.1371	0.51555855513308		-0.0771	0.0581	-1.3263	0.1847	0.456461538461538		0.0312	0.0031	1.0004	0.0068	-0.0033	0.0046	Cancer screening - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2365
Longest period spent worried or anxious	Mental health	0.1131	0.2448	0.458536363636364		0.1131	0.0972	1.163	0.2448	0.458536363636364		0.08	0.1031	0.7756	0.438	0.770786476868327		0.1075	0.1005	1.0697	0.2848	0.566659642147117		0.0663	0.018	0.9933	0.0058	-0.0045	0.0047	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20420
Time to complete round	Cognitive function	0.0524	0.1001	0.460159722222222		0.014	0.0346	0.4057	0.685	0.8231652490887		0.0524	0.0319	1.6444	0.1001	0.460159722222222		0.038	0.0327	1.1613	0.2455	0.524404967602592		0.0873	0.0035	1.0129	0.011	0.0054	0.006	Pairs matching - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=400
Ankle spacing width (right)	Physical measures	0.0615	0.1005	0.460159722222222		0.0143	0.0359	0.3991	0.6898	0.825922760290557		-0.0615	0.0374	-1.6425	0.1005	0.460159722222222		-0.0304	0.0368	-0.8261	0.4088	0.682944594594595		0.2956	0.0156	1.0505	0.0137	-2.9651e-05	0.0062	Bone-densitometry of heel - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4119
Eosinophill count	Biological samples	0.0425	0.2463	0.460473913043478		0.0425	0.0366	1.1593	0.2463	0.460473913043478		0.0026	0.0384	0.0667	0.9468	0.989301831129196		0.02	0.0379	0.5276	0.5978	0.821144722222222		0.1602	0.0155	1.1192	0.0392	-0.0045	0.0073	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30150
Gap coding: Retired	Work environment	0.1817	0.2479	0.462590754716981		-0.1817	0.1572	-1.1556	0.2479	0.462590754716981		-0.1179	0.139	-0.8477	0.3966	0.748412144212524		-0.1537	0.1471	-1.0454	0.2958	0.575878346456693		0.0129	0.0063	1.0021	0.006	0.0169	0.0049	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22660
Milk type used: Semi-skimmed	Lifestyle and environment	0.0736	0.2506	0.465871052631579		-0.0736	0.0641	-1.149	0.2506	0.465871052631579		0.0038	0.0606	0.0623	0.9503	0.989301831129196		-0.0332	0.0615	-0.5399	0.5893	0.818564185393259		0.0134	0.0014	1.003	0.0063	-6e-04	0.0057	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1418
Activities undertaken to treat anxiety: Talking therapies, such as psychotherapy, counselling, group therapy or CBT	Mental health	0.079	0.2528	0.466321787709497		0.077	0.0673	1.1436	0.2528	0.466321787709497		0.0736	0.0744	0.9888	0.3228	0.701192324561403		0.079	0.0708	1.1165	0.2642	0.542103319502075		0.0398	0.0047	0.994	0.0065	0.0035	0.0049	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20550
Ever addicted to any substance or behaviour	Mental health	0.1098	0.2531	0.466321787709497		0.1098	0.0961	1.1429	0.2531	0.466321787709497		-0.0041	0.118	-0.0351	0.972	0.989301831129196		0.0518	0.1084	0.4779	0.6327	0.841713440860215		0.0178	0.0046	1.0028	0.0073	0.0128	0.0051	Addictions - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20401
Injury, poisoning and certain other consequences of external causes	Medical history and conditions	0.0665	0.2532	0.466321787709497		0.0665	0.0582	1.1427	0.2532	0.466321787709497		0.0032	0.059	0.0538	0.9571	0.989301831129196		0.0338	0.0587	0.5752	0.5652	0.797407703281027		0.0167	0.0015	1.0004	0.0069	0.0088	0.0049	NA	NA
Magnesium	Diet by 24-hour recall	0.0827	0.2067	0.466347319778189		-0.0773	0.0679	-1.138	0.2551	0.466347319778189		-0.0803	0.0676	-1.1893	0.2343	0.613023015873016		-0.0827	0.0655	-1.2627	0.2067	0.476518181818182		0.0556	0.0099	1.0058	0.0074	-0.0028	0.0045	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100017
Other soft tissue disorders, not elsewhere classified	Medical history and conditions	0.1259	0.2547	0.466347319778189		0.1259	0.1106	1.1389	0.2547	0.466347319778189		0.0808	0.1276	0.6332	0.5266	0.805568778979907		0.1063	0.1185	0.8967	0.3699	0.64863670212766		0.0048	0.0013	1.0079	0.0065	0.0078	0.0051	NA	NA
Diagnoses - main ICD10: M79 Other soft tissue disorders, not elsewhere classified	Medical history and conditions	0.1259	0.2547	0.466347319778189		0.1259	0.1106	1.1389	0.2547	0.466347319778189		0.0808	0.1276	0.6332	0.5266	0.805568778979907		0.1063	0.1185	0.8967	0.3699	0.64863670212766		0.0048	0.0013	1.0079	0.0065	0.0078	0.0051	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Ever smoked	Lifestyle and environment	0.0397	0.2549	0.466347319778189		0.0397	0.0348	1.1386	0.2549	0.466347319778189		-0.0121	0.033	-0.3655	0.7147	0.903236143039591		0.0137	0.0331	0.4139	0.679	0.858735294117647		0.0747	0.0034	1.0209	0.0102	0.0173	0.0055	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20160
Diagnoses - main ICD10: M20 Acquired deformities of fingers and toes	Medical history and conditions	0.0815	0.1965	0.467159855769231		0.0562	0.058	0.9689	0.3326	0.556584433164129		0.0815	0.0659	1.2368	0.2162	0.5934		0.0789	0.0611	1.2915	0.1965	0.467159855769231		0.0143	0.0015	0.9948	0.0073	0.0023	0.005	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Treatment/medication code: amitriptyline	Medications	0.0908	0.2573	0.469501291512915		0.0908	0.0801	1.1328	0.2573	0.469501291512915		-0.0108	0.0797	-0.1357	0.892	0.9680375		0.0354	0.0787	0.4492	0.6533	0.846936566186107		0.0073	0.0016	1.0111	0.0073	-0.0022	0.0047	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Workplace full of chemical or other fumes: Sometimes	Work environment	0.1311	0.1426	0.471312918660287		0.0787	0.1005	0.7828	0.4338	0.644186486486486		0.1311	0.0894	1.4661	0.1426	0.518236		0.1214	0.0946	1.2837	0.1992	0.471312918660287		0.0275	0.0051	1.011	0.006	-0.0019	0.0052	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22610
Pulse rate	Physical measures	0.0667	0.1111	0.474581030444965		0.0365	0.0468	0.7802	0.4353	0.645444827586207		0.0667	0.0418	1.5934	0.1111	0.486185398230089		0.0557	0.0438	1.2723	0.2033	0.474581030444965		0.1349	0.0117	1.0262	0.0149	0.0041	0.0057	Arterial stiffness - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4194
Number of jobs held	Work environment	0.1356	0.1253	0.474581030444965		-0.0563	0.0824	-0.6832	0.4945	0.690763418079096		-0.1356	0.0885	-1.5329	0.1253	0.506206530612245		-0.1088	0.0858	-1.2682	0.2047	0.474581030444965		0.0307	0.0059	1.0097	0.0072	6e-04	0.0049	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22599
Mean corpuscular haemoglobin concentration	Biological samples	0.0543	0.1071	0.474986098654708		0.0255	0.0409	0.6231	0.5332	0.732409444444444		0.0543	0.0337	1.6113	0.1071	0.474986098654708		0.0448	0.0358	1.2511	0.2109	0.481709237875289		0.0542	0.0063	1.0431	0.0196	0.0017	0.0059	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30060
Number of children fathered	Maternity and sex-specific factors	0.0652	0.2608	0.475011418047882		0.0652	0.058	1.1245	0.2608	0.475011418047882		-0.023	0.0661	-0.3477	0.728	0.905009547738693		0.0216	0.0619	0.3484	0.7275	0.879944009779951		0.0374	0.0035	1.0047	0.0072	-0.013	0.0053	Male-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2405
Number of spontaneous miscarriages	Maternity and sex-specific factors	0.194	0.1297	0.47955		-0.0983	0.1308	-0.7512	0.4525	0.659673195876289		-0.194	0.128	-1.5151	0.1297	0.509508171206226		-0.1628	0.1295	-1.2577	0.2085	0.47955		0.0186	0.008	1.0007	0.0065	4e-04	0.0052	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3839
Mental health problems ever diagnosed by a professional: Panic attacks	Mental health	0.099	0.2091	0.479814153132251		0.0893	0.0838	1.0668	0.2861	0.507084050179211		0.0887	0.0768	1.1555	0.2479	0.62419670886076		0.099	0.0788	1.2559	0.2091	0.479814153132251		0.0227	0.0041	1.0022	0.0068	-4e-04	0.0047	Mental distress - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20544
Frequency of light DIY in last 4 weeks	Lifestyle and environment	0.0764	0.2441	0.480009157509158		0.0764	0.0685	1.1154	0.2647	0.480009157509158		0.065	0.0617	1.0538	0.292	0.66501724137931		0.073	0.0627	1.1648	0.2441	0.523891106290672		0.0219	0.0028	1.0033	0.0065	-0.0031	0.0047	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1011
Risk taking	Mental health	0.041	0.2641	0.480009157509158		0.041	0.0367	1.1168	0.2641	0.480009157509158		-0.0065	0.039	-0.1665	0.8678	0.961533930571109		0.0157	0.0374	0.421	0.6737	0.856412982005141		0.0548	0.0028	1.0076	0.0096	0.0046	0.0053	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2040
Past tobacco smoking	Lifestyle and environment	0.037	0.2664	0.481662888482633		-0.037	0.0333	-1.1113	0.2664	0.481662888482633		0.023	0.035	0.6569	0.5112	0.803795754716981		-0.0068	0.0339	-0.1995	0.8418	0.949913097949886		0.0917	0.0041	1.0223	0.0105	-0.0228	0.0056	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1249
3mm asymmetry angle (right)	Physical measures	0.1038	0.1296	0.481709237875289		0.06	0.0743	0.8077	0.4193	0.632145884146341		0.1038	0.0685	1.5156	0.1296	0.509508171206226		0.0892	0.0712	1.2518	0.2106	0.481709237875289		0.0513	0.0074	1.0074	0.0073	0.0015	0.0051	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5108
Vitamin C	Diet by 24-hour recall	0.1309	0.1429	0.496318850574713		-0.0619	0.084	-0.7365	0.4614	0.664227947598253		-0.1309	0.0893	-1.4651	0.1429	0.518236		-0.1071	0.087	-1.2311	0.2183	0.496318850574713		0.0507	0.0099	1.0004	0.0072	-0.0032	0.0048	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100015
Usual side of head for mobile phone use: Right	Lifestyle and environment	0.0923	0.2129	0.497222018348624		-0.0595	0.0606	-0.982	0.3261	0.550268143100511		-0.0923	0.0741	-1.2457	0.2129	0.592288764044944		-0.0835	0.0679	-1.2287	0.2192	0.497222018348624		0.0263	0.0032	1.006	0.0098	0.0036	0.0057	Electronic device use - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1150
Phosphate (mmol/L)	Biological samples	0.0576	0.1869	0.497871590909091		-0.0274	0.0328	-0.8337	0.4044	0.619426315789474		-0.0576	0.0437	-1.3197	0.1869	0.564842249240122		-0.0463	0.0378	-1.2264	0.2201	0.497871590909091		0.1059	0.0088	1.0933	0.0364	0.013	0.006	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30810
