trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Magnesium	Diet by 24-hour recall	0.0979	0.1102	0.427226558265583		-0.0553	0.0621	-0.8907	0.3731	0.594196296296296		-0.0979	0.0613	-1.5971	0.1102	0.471808658008658		-0.0842	0.0598	-1.407	0.1594	0.427226558265583		0.0555	0.0099	1.0059	0.0073	-9e-04	0.0045	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100017
Sleeplessness / insomnia	Lifestyle and environment	0.0459	0.1999	0.428566666666667		0.0459	0.0359	1.2772	0.2015	0.428566666666667		0.0388	0.0339	1.1445	0.2524	0.655180052493438		0.0447	0.0349	1.2818	0.1999	0.474103357314149		0.0638	0.0027	1.0146	0.0094	0.003	0.0064	Sleep - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1200
Diseases of the musculoskeletal system and connective tissue	Medical history and conditions	0.0498	0.2032	0.428705473684211		0.0498	0.0392	1.2724	0.2032	0.428705473684211		-0.0404	0.054	-0.7471	0.455	0.799280639431616		-0.0026	0.0477	-0.0538	0.9571	0.983962474012474		0.0427	0.0027	1.0278	0.0099	0.0023	0.0061	NA	NA
Types of transport used (excluding work): Car/motor vehicle	Lifestyle and environment	0.0563	0.2041	0.428705473684211		-0.0563	0.0444	-1.2701	0.2041	0.428705473684211		-0.0284	0.0403	-0.7055	0.4805	0.803061317567568		-0.0415	0.0411	-1.0099	0.3125	0.614438369781312		0.0255	0.0017	1.0098	0.0072	-0.0041	0.0053	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6162
Leg fat mass (left)	Physical measures	0.0298	0.2043	0.428705473684211		0.0298	0.0235	1.2695	0.2043	0.428705473684211		-0.0259	0.0238	-1.088	0.2766	0.676427160493827		-0.0043	0.0228	-0.1865	0.8521	0.933314048672566		0.2322	0.0074	1.0644	0.0182	0.0079	0.0072	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23116
Calcium (mmol/L)	Biological samples	0.0381	0.2045	0.428705473684211		0.0381	0.0301	1.2688	0.2045	0.428705473684211		0.0165	0.0293	0.5613	0.5746	0.861073373676248		0.0283	0.0296	0.9569	0.3386	0.636563187855787		0.1246	0.0164	1.0726	0.028	0.0052	0.0067	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30680
Mouth/teeth dental problems: Dentures	Medical history and conditions	0.0455	0.2047	0.428705473684211		0.0455	0.0359	1.2682	0.2047	0.428705473684211		9e-04	0.0434	0.0203	0.9838	0.999447897435897		0.0217	0.0399	0.5432	0.587	0.809795403899721		0.0541	0.0025	1.0282	0.0093	0.0117	0.0057	Mouth - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149
Age asthma diagnosed	Medical history and conditions	0.1003	0.2055	0.428705473684211		-0.1003	0.0792	-1.2662	0.2055	0.428705473684211		-0.0567	0.0627	-0.9055	0.3652	0.754689249492901		-0.0804	0.0705	-1.1398	0.2544	0.552842324561403		0.1385	0.036	1.006	0.011	0.007	0.006	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3786
Gap coding: Retired	Work environment	0.1788	0.2059	0.428705473684211		-0.1788	0.1413	-1.265	0.2059	0.428705473684211		-0.0994	0.1148	-0.8655	0.3868	0.760527236580517		-0.1427	0.1265	-1.128	0.2593	0.55628568329718		0.0131	0.0063	1.0019	0.006	0.0168	0.0047	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22660
Illnesses of mother: Bowel cancer	Family history and early life factors	0.1355	0.2078	0.431752521008403		-0.1355	0.1076	-1.2595	0.2078	0.431752521008403		-0.0237	0.0938	-0.2524	0.8007	0.95099785202864		-0.0739	0.0989	-0.7467	0.4553	0.71870458135861		0.0042	0.0014	1.0083	0.0061	0.0014	0.0053	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110
Past tobacco smoking	Lifestyle and environment	0.041	0.2092	0.433750104821803		-0.041	0.0326	-1.2559	0.2092	0.433750104821803		0.0156	0.03	0.519	0.6038	0.87559853372434		-0.0115	0.0307	-0.3735	0.7088	0.87735068836045		0.0917	0.0041	1.0226	0.0104	-0.0183	0.0064	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1249
Childhood sunburn occasions	Lifestyle and environment	0.0394	0.2099	0.4342910041841		-0.0394	0.0314	-1.2537	0.2099	0.4342910041841		0.02	0.0371	0.5396	0.5895	0.865008160237389		-0.0086	0.0338	-0.2546	0.7991	0.911545444059977		0.1093	0.0226	1.0183	0.0395	0.002	0.0057	Sun exposure - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1737
Leg fat mass (right)	Physical measures	0.0294	0.2116	0.436894363256785		0.0294	0.0235	1.2493	0.2116	0.436894363256785		-0.0239	0.0239	-1.0014	0.3166	0.711138095238095		-0.0032	0.0229	-0.1411	0.8878	0.954385		0.2314	0.0074	1.0634	0.0183	0.0085	0.0072	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23112
6mm weak meridian angle (right)	Physical measures	0.0792	0.2122	0.437220416666667		-0.0792	0.0635	-1.2474	0.2122	0.437220416666667		5e-04	0.0576	0.0088	0.993	0.9998		-0.0352	0.058	-0.6074	0.5436	0.784847299270073		0.0432	0.0078	1.0066	0.0063	0.0029	0.0051	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5101
FI6 : conditional arithmetic	Cognitive function	0.05	0.2128	0.437545114345114		-0.05	0.0401	-1.2459	0.2128	0.437545114345114		-0.02	0.0452	-0.4425	0.6581	0.900222544951591		-0.0342	0.0416	-0.8238	0.4101	0.685116385135135		0.0922	0.0058	1.0005	0.007	-0.0018	0.0053	Fluid intelligence / reasoning - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4990
Age at last episode of depression	Mental health	0.1078	0.2139	0.438894398340249		-0.1078	0.0867	-1.2428	0.2139	0.438894398340249		-0.0531	0.073	-0.7277	0.4668	0.800112998266898		-0.0827	0.0756	-1.0938	0.274	0.568104821802935		0.0292	0.0072	1.0022	0.0068	0.0038	0.0048	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20434
Diagnoses - main ICD10: K40 Inguinal hernia	Medical history and conditions	0.0583	0.1961	0.439844736842105		0.0575	0.0468	1.2274	0.2197	0.439844736842105		0.0532	0.0454	1.1737	0.2405	0.643919189189189		0.0583	0.0451	1.2926	0.1961	0.469894444444444		0.0213	0.0024	0.9997	0.0075	0.0013	0.0052	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Other arthrosis	Medical history and conditions	0.1009	0.2167	0.439844736842105		0.1009	0.0816	1.2355	0.2167	0.439844736842105		0.0312	0.0872	0.3577	0.7206	0.912991176470588		0.0628	0.0845	0.7425	0.4578	0.71870458135861		0.0059	0.0014	1.0131	0.0069	3e-04	0.0055	NA	NA
Mouth/teeth dental problems: Loose teeth	Medical history and conditions	0.0724	0.2174	0.439844736842105		0.0724	0.0587	1.2334	0.2174	0.439844736842105		0.0625	0.0589	1.0623	0.2881	0.691581598062954		0.0701	0.0584	1.1997	0.2303	0.520015296803653		0.0137	0.0016	1.0125	0.0073	1e-04	0.0049	Mouth - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149
Lettuce intake	Diet by 24-hour recall	0.1482	0.2175	0.439844736842105		-0.1482	0.1202	-1.2332	0.2175	0.439844736842105		-0.0724	0.1106	-0.6546	0.5127	0.821751910828025		-0.1098	0.1134	-0.9684	0.3328	0.6341795761079		0.0152	0.0078	1.0089	0.0059	-0.0012	0.0049	Fruit/vegetables yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=104240
Apoliprotein B (g/L)	Biological samples	0.1033	0.2175	0.439844736842105		0.1033	0.0838	1.2331	0.2175	0.439844736842105		0.0571	0.0729	0.7834	0.4334	0.788487934186472		0.0815	0.0772	1.056	0.291	0.587344897959184		0.0339	0.0668	1.6036	0.4901	-0.0126	0.009	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30640
Number of children fathered	Maternity and sex-specific factors	0.0623	0.2175	0.439844736842105		0.0623	0.0505	1.2332	0.2175	0.439844736842105		-0.0068	0.056	-0.1221	0.9028	0.990637417218543		0.0271	0.0531	0.5104	0.6098	0.81884369063772		0.0374	0.0035	1.0047	0.0072	-0.0173	0.0054	Male-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2405
Diseases of the nervous system	Medical history and conditions	0.0618	0.2189	0.439844736842105		0.0618	0.0503	1.2294	0.2189	0.439844736842105		0.0121	0.0494	0.2458	0.8058	0.95099785202864		0.0369	0.0491	0.7531	0.4514	0.717540930979133		0.0151	0.0016	1.012	0.0071	0.0092	0.0052	NA	NA
6mm cylindrical power angle (right)	Physical measures	0.0777	0.2192	0.439844736842105		-0.0777	0.0633	-1.2286	0.2192	0.439844736842105		-4e-04	0.0571	-0.0066	0.9948	0.9998		-0.035	0.0576	-0.6074	0.5436	0.784847299270073		0.0436	0.0079	1.0062	0.0064	0.0028	0.0051	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5114
Coxarthrosis [arthrosis of hip](FG)	Medical history and conditions	0.0683	0.2194	0.439844736842105		0.0683	0.0556	1.2281	0.2194	0.439844736842105		-0.0653	0.0718	-0.9098	0.3629	0.754689249492901		-0.012	0.0651	-0.1852	0.8531	0.933314048672566		0.0173	0.002	1.0201	0.0083	-0.0081	0.0054	NA	NA
Diagnoses - main ICD10: M16 Coxarthrosis [arthrosis of hip]	Medical history and conditions	0.0683	0.2194	0.439844736842105		0.0683	0.0556	1.2281	0.2194	0.439844736842105		-0.0653	0.0718	-0.9098	0.3629	0.754689249492901		-0.012	0.0651	-0.1852	0.8531	0.933314048672566		0.0173	0.002	1.0201	0.0083	-0.0081	0.0054	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Mean corpuscular haemoglobin	Biological samples	0.0339	0.2196	0.439844736842105		0.0339	0.0276	1.2276	0.2196	0.439844736842105		0.027	0.0262	1.0276	0.3041	0.705972811059908		0.0329	0.0271	1.2154	0.2242	0.512006436781609		0.2346	0.0296	1.1535	0.0636	0.0151	0.0076	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30050
Frequency of feeling guilt or remorse after drinking alcohol in last year	Mental health	0.0902	0.167	0.440434666666667		-0.0839	0.0687	-1.2221	0.2217	0.441169617706237		-0.0878	0.0637	-1.3797	0.1677	0.546350485436893		-0.0902	0.0653	-1.382	0.167	0.440434666666667		0.0418	0.0081	1.0065	0.0068	0.024	0.0053	Alcohol use - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20409
Poultry intake	Lifestyle and environment	0.0463	0.2205	0.440554545454545		0.0463	0.0378	1.2251	0.2205	0.440554545454545		0.0326	0.044	0.7406	0.4589	0.799657417102967		0.0403	0.0404	0.9985	0.3181	0.61929311023622		0.0321	0.0018	1.0078	0.0077	0.0021	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1359
Neoplasms	Medical history and conditions	0.0637	0.2216	0.441169617706237		0.0637	0.0521	1.2223	0.2216	0.441169617706237		0.0027	0.05	0.0539	0.957	0.998404284221526		0.0343	0.0495	0.6929	0.4884	0.743119384615385		0.0157	0.0018	1.0146	0.0078	1.5888e-05	0.0052	NA	NA
Non-cancer illness code, self-reported: prolapsed disc/slipped disc	Medical history and conditions	0.1306	0.1144	0.442855091383812		-0.0498	0.0767	-0.6496	0.516	0.723863829787234		-0.1306	0.0827	-1.5788	0.1144	0.477390717299578		-0.1084	0.0789	-1.3744	0.1693	0.442855091383812		0.0058	0.0016	1.0204	0.0073	-0.0038	0.0049	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Reproduciblity of spirometry measurement using ERS/ATS criteria	Physical measures	0.098	0.1699	0.442855091383812		0.0831	0.0709	1.1727	0.2409	0.460831914893617		0.0969	0.0744	1.3027	0.1927	0.570576923076923		0.098	0.0714	1.3725	0.1699	0.442855091383812		0.014	0.002	1.0035	0.0069	8e-04	0.0059	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20152
Lymphocyte percentage	Biological samples	0.04	0.1872	0.444172189349112		-0.0345	0.0284	-1.2137	0.2249	0.444172189349112		-0.04	0.0303	-1.319	0.1872	0.567916564417178		-0.0392	0.0301	-1.3042	0.1922	0.467284275184275		0.1483	0.0124	1.1329	0.033	-0.005	0.0072	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30180
Frequency of depressed days during worst episode of depression	Mental health	0.098	0.2237	0.444172189349112		-0.098	0.0806	-1.2168	0.2237	0.444172189349112		-0.044	0.0756	-0.5815	0.5609	0.856064969135802		-0.0743	0.0769	-0.9659	0.3341	0.6354325		0.0294	0.0073	1.0029	0.0066	0.0061	0.005	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20439
Non-butter spread type details: Other low or reduced fat spread	Lifestyle and environment	0.0891	0.2252	0.444172189349112		0.0891	0.0735	1.2127	0.2252	0.444172189349112		0.0533	0.0913	0.5837	0.5594	0.855095208655332		0.0727	0.0822	0.8846	0.3764	0.660616991150443		0.0118	0.0028	0.9949	0.0071	-6e-04	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2654
Substances taken for anxiety: Drugs or alcohol (more than once)	Mental health	0.1097	0.2258	0.444172189349112		0.1097	0.0906	1.2113	0.2258	0.444172189349112		-0.0395	0.0856	-0.4619	0.6441	0.894226564673157		0.0333	0.0865	0.3843	0.7008	0.872230991217064		0.0146	0.0043	1.0165	0.0063	0.0063	0.005	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20549
Vitamin and mineral supplements: Vitamin D	Medications	0.0947	0.2266	0.444172189349112		0.0947	0.0783	1.2092	0.2266	0.444172189349112		0.0499	0.0695	0.718	0.4727	0.802565866209262		0.078	0.072	1.0834	0.2786	0.572676141078838		0.0054	0.0014	0.9995	0.0072	3e-04	0.0047	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155
Trouble falling or staying asleep, or sleeping too much	Mental health	0.0581	0.2266	0.444172189349112		0.0581	0.0481	1.2092	0.2266	0.444172189349112		0.0404	0.047	0.8608	0.3893	0.762411287128713		0.0527	0.0473	1.1149	0.2649	0.557627659574468		0.0543	0.005	0.9988	0.0075	0.0011	0.005	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20517
logMAR, final (left)	Physical measures	0.092	0.2272	0.444172189349112		0.092	0.0762	1.2075	0.2272	0.444172189349112		0.0592	0.0802	0.7383	0.4603	0.799657417102967		0.0815	0.0779	1.0465	0.2953	0.593601016260163		0.0317	0.0064	1.0119	0.0074	0.0082	0.0052	Visual acuity - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5208
Illnesses of mother: High blood pressure	Family history and early life factors	0.0521	0.2277	0.444172189349112		0.0521	0.0432	1.2064	0.2277	0.444172189349112		-0.0397	0.0444	-0.895	0.3708	0.754689249492901		-4e-04	0.0434	-0.0088	0.993	0.997717629179331		0.0287	0.0021	1.0174	0.009	-0.0016	0.0052	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110
Diagnoses - main ICD10: R69 Unknown and unspecified causes of morbidity	Medical history and conditions	0.1181	0.1929	0.444175638506876		0.1167	0.097	1.2039	0.2286	0.444175638506876		0.1034	0.0864	1.1969	0.2314	0.637080833333333		0.1181	0.0907	1.302	0.1929	0.467593382352941		0.0045	0.0013	0.9963	0.0063	-3e-04	0.0053	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Corneal hysteresis (right)	Physical measures	0.0438	0.2286	0.444175638506876		-0.0438	0.0364	-1.2039	0.2286	0.444175638506876		-0.0337	0.0353	-0.9544	0.3399	0.730535637149028		-0.0417	0.035	-1.1917	0.2334	0.523076072234763		0.1999	0.0135	1.0337	0.0126	0.0113	0.0058	Intraocular pressure - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5256
Starchy food consumers	Diet by 24-hour recall	0.1533	0.2312	0.446495906432749		0.1533	0.1281	1.1972	0.2312	0.446495906432749		0.1063	0.1189	0.8942	0.3712	0.754689249492901		0.136	0.124	1.0964	0.2729	0.56701281512605		0.0231	0.0084	0.9997	0.0061	-0.0116	0.0056	Bread/pasta/rice yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=102700
Seen doctor (GP) for nerves, anxiety, tension or depression	Mental health	0.0393	0.2314	0.446495906432749		0.0393	0.0329	1.1969	0.2314	0.446495906432749		0.0089	0.0338	0.2641	0.7917	0.947911111111111		0.0248	0.0332	0.7476	0.4547	0.71870458135861		0.0607	0.003	1.0115	0.0095	0.0081	0.0062	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2090
Pulse wave peak to peak time	Physical measures	0.0718	0.2085	0.44812859922179		-0.0647	0.0543	-1.193	0.2329	0.44812859922179		-0.065	0.0614	-1.0572	0.2904	0.691586778846154		-0.0718	0.0571	-1.2576	0.2085	0.487269103773585		0.0417	0.0047	1.0063	0.0073	-0.0049	0.0054	Arterial stiffness - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4196
Vascular/heart problems diagnosed by doctor: Heart attack	Medical history and conditions	0.0687	0.1178	0.452480310880829		0.0443	0.0493	0.8975	0.3694	0.590364297253635		0.0687	0.0439	1.5641	0.1178	0.479222764227642		0.0621	0.046	1.3514	0.1766	0.452480310880829		0.0193	0.0017	1.0119	0.0077	0.0079	0.0057	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150
Non-butter spread type details: Soft (tub) margarine	Lifestyle and environment	0.0822	0.104	0.45311013215859		0.0441	0.0574	0.7678	0.4426	0.66222602118003		0.0822	0.0505	1.6256	0.104	0.45311013215859		0.0695	0.0538	1.2916	0.1965	0.469894444444444		0.0265	0.0028	1.0118	0.0069	-0.0042	0.0054	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2654
Frequency of inability to stop worrying during worst period of anxiety	Mental health	0.0927	0.1904	0.457436504854369		-0.0864	0.0732	-1.1795	0.2382	0.457436504854369		-0.078	0.073	-1.0684	0.2853	0.689881907090465		-0.0927	0.0708	-1.3094	0.1904	0.464952098765432		0.0591	0.013	0.9882	0.007	0.0022	0.0048	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20539
Never eat eggs, dairy, wheat, sugar: Dairy products	Lifestyle and environment	0.142	0.143	0.459446835443038		0.078	0.0958	0.8136	0.4159	0.640693302180685		0.142	0.0969	1.4647	0.143	0.523375912408759		0.1267	0.0953	1.3301	0.1835	0.459446835443038		0.0038	0.0012	1.0114	0.0059	0.0059	0.0057	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6144
Weekly usage of mobile phone in last 3 months	Lifestyle and environment	0.0431	0.2439	0.464772832369942		0.0431	0.037	1.1652	0.2439	0.464772832369942		-9.7115e-06	0.0418	-2e-04	0.9998	0.9998		0.02	0.0392	0.5116	0.609	0.81884369063772		0.0488	0.0026	1.0014	0.0078	0.0093	0.0058	Electronic device use - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1120
Number of days/week of moderate physical activity 10+ minutes	Lifestyle and environment	0.0533	0.1895	0.46487896039604		0.0498	0.043	1.158	0.2469	0.467458508604207		0.0523	0.0403	1.2967	0.1947	0.570576923076923		0.0533	0.0407	1.312	0.1895	0.46487896039604		0.0404	0.0023	1.0113	0.0079	-0.0015	0.0059	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=884
Place of birth in UK - east co-ordinate	Family history and early life factors	0.0883	0.1899	0.46487896039604		-0.0839	0.0771	-1.0878	0.2767	0.506748243992606		-0.0736	0.0608	-1.2104	0.2261	0.629895492957746		-0.0883	0.0674	-1.311	0.1899	0.46487896039604		0.0113	0.0028	1.5509	0.0121	6e-04	0.0069	Early life factors - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=130
Cardiac arrhytmias, COPD co-morbidities	Medical history and conditions	0.0802	0.1083	0.46569		0.0066	0.0568	0.1158	0.9078	0.95890914893617		0.0802	0.05	1.6057	0.1083	0.46569		0.0496	0.0518	0.9565	0.3388	0.636563187855787		0.0168	0.0023	1.0055	0.0087	0.0109	0.0056	NA	NA
Arm fat percentage (left)	Physical measures	0.0278	0.2452	0.466351538461538		0.0277	0.0238	1.1621	0.2452	0.466351538461538		-0.0278	0.0245	-1.1364	0.2558	0.657877662337662		-0.0065	0.0235	-0.2757	0.7828	0.905492102206736		0.2217	0.007	1.0626	0.0189	0.0165	0.007	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23123
Exposure to tobacco smoke at home	Lifestyle and environment	0.0747	0.2463	0.467458508604207		0.0747	0.0644	1.1594	0.2463	0.467458508604207		-0.029	0.0563	-0.5152	0.6064	0.877250218978102		0.0161	0.0588	0.274	0.7841	0.905492102206736		0.0116	0.0015	0.9969	0.0068	0.011	0.0052	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1269
Gap coding: Full-time or part-time education	Work environment	0.1023	0.1776	0.469894444444444		-0.0812	0.0815	-0.9959	0.3193	0.544461551724138		-0.1023	0.0759	-1.3481	0.1776	0.552165830721003		-0.0992	0.0769	-1.2911	0.1967	0.469894444444444		0.0269	0.0063	1.0075	0.0061	0.0073	0.005	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22660
6mm cylindrical power (right)	Physical measures	0.0981	0.2496	0.471096183206107		-0.0981	0.0852	-1.1513	0.2496	0.471096183206107		-0.0413	0.0812	-0.5081	0.6114	0.877773333333333		-0.0773	0.0803	-0.9628	0.3356	0.636563187855787		0.0317	0.0065	1.0176	0.0063	0.0028	0.0055	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5117
Time spent driving	Lifestyle and environment	0.0464	0.2508	0.472459428571429		-0.0464	0.0404	-1.1483	0.2508	0.472459428571429		-0.0375	0.0418	-0.8967	0.3699	0.754689249492901		-0.0412	0.0402	-1.0241	0.3058	0.605268		0.0445	0.0026	1.0005	0.0069	-0.003	0.0051	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1090
ECG, heart rate	Physical measures	0.0856	0.1706	0.472813493975904		0.0667	0.0634	1.0522	0.2927	0.520554301075269		0.0856	0.0625	1.3701	0.1706	0.546350485436893		0.0825	0.0642	1.2861	0.1984	0.472813493975904		0.0926	0.0121	1.0196	0.0082	0.0058	0.0054	ECG during exercise - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5983
Headaches for 3+ months	Medical history and conditions	0.0596	0.2008	0.474436754176611		-0.0551	0.0504	-1.0937	0.2741	0.503875278810409		-0.0523	0.0463	-1.1284	0.2592	0.6624		-0.0596	0.0466	-1.2793	0.2008	0.474436754176611		0.0562	0.0073	1.0038	0.0068	0.005	0.0046	Pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3799
Nervous feelings	Mental health	0.0586	0.201	0.474436754176611		0.0421	0.0394	1.0697	0.2847	0.513775591985428		0.0586	0.0478	1.2254	0.2204	0.622421937321937		0.056	0.0438	1.2786	0.201	0.474436754176611		0.0644	0.0036	1.0132	0.0121	0.0044	0.0065	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1970
Duration of moderate activity	Lifestyle and environment	0.0579	0.2534	0.475207007575758		0.0579	0.0507	1.142	0.2534	0.475207007575758		0.0073	0.0434	0.1682	0.8664	0.978086120591581		0.0317	0.0467	0.6789	0.4972	0.748062765957447		0.0317	0.0021	1.0077	0.0078	-0.0031	0.0056	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=894
Had other major operations	Medical history and conditions	0.0657	0.2551	0.476026226415094		0.0657	0.0577	1.1381	0.2551	0.476026226415094		-0.0157	0.0601	-0.2617	0.7936	0.947911111111111		0.019	0.0584	0.3255	0.7448	0.893278928571429		0.0296	0.0031	1.012	0.007	0.001	0.0059	Operations - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2844
Had menopause	Maternity and sex-specific factors	0.081	0.1121	0.476248068669528		0.0155	0.0512	0.3022	0.7625	0.887191176470588		0.081	0.051	1.5887	0.1121	0.476248068669528		0.0631	0.0499	1.2649	0.2059	0.484845476190476		0.0401	0.0059	1.0031	0.0118	0.0118	0.0049	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2724
